b0,b_validando_tarjeta,b_validando_clave,b_consultando_saldo,b_autorizando_retiro,b_actualizando_clave,b_registrando_transaccion,b_bloqueado,b_error
Cs1,Cs2,Cs3,Cs4,Cs5,Cs6,Cs7
Cr1,Cr2,Cr3,Cr4,Cr5,Cr6,Cr7,Cr8,Cr9,Cr10
b0
b0,Cs1,b_validando_tarjeta,Cr1|Cr2
b0,Cs2,b_validando_clave,Cr3|Cr4
b0,Cs3,b_consultando_saldo,Cr5
b0,Cs4,b_autorizando_retiro,Cr6|Cr7
b0,Cs6,b_actualizando_clave,Cr8
b0,Cs7,b_validando_clave,Cr9
b_validando_tarjeta,Cs5,b_registrando_transaccion,Cr5
b_validando_clave,Cs2,b_validando_clave,Cr3|Cr4
b_consultando_saldo,Cs5,b_registrando_transaccion,Cr5
b_autorizando_retiro,Cs5,b_registrando_transaccion,Cr6
b_actualizando_clave,Cs5,b_registrando_transaccion,Cr8
b_registrando_transaccion,Cs1,b0,Cr1
b_registrando_transaccion,Cs2,b0,Cr1
b_registrando_transaccion,Cs3,b0,Cr1
b_registrando_transaccion,Cs4,b0,Cr1
b_registrando_transaccion,Cs5,b0,Cr1
b_registrando_transaccion,Cs6,b0,Cr1
b_registrando_transaccion,Cs7,b0,Cr1
